date,store_id,product_id,category,quantity,price,total,promotion
2024-01-01,Store_1,P_29,Accessories,4,10.13,40.52,0
2024-01-01,Store_1,P_50,Tops,4,28.13,112.52,1
2024-01-01,Store_5,P_11,Footwear,2,26.29,52.58,0
2024-01-01,Store_5,P_23,Tops,3,26.27,78.81,0
2024-01-01,Store_4,P_10,Bottoms,1,22.74,22.74,0
2024-01-01,Store_2,P_24,Footwear,2,18.7,37.4,0
2024-01-01,Store_1,P_41,Bottoms,2,20.79,41.58,0
2024-01-01,Store_1,P_3,Footwear,5,33.01,165.05,0
2024-01-02,Store_5,P_41,Footwear,2,25.73,51.46,0
2024-01-02,Store_7,P_8,Bottoms,2,29.96,59.92,0
2024-01-02,Store_2,P_47,Tops,3,35.91,107.73,0
2024-01-02,Store_2,P_10,Tops,1,31.37,31.37,0
2024-01-02,Store_10,P_32,Footwear,2,36.19,72.38,0
2024-01-02,Store_2,P_19,Outerwear,2,25.69,51.38,0
2024-01-02,Store_3,P_42,Accessories,2,16.66,33.32,0
2024-01-02,Store_6,P_36,Accessories,2,19.1,38.2,0
2024-01-03,Store_2,P_28,Outerwear,1,32.65,32.65,0
2024-01-03,Store_6,P_12,Bottoms,1,37.8,37.8,0
2024-01-03,Store_5,P_34,Tops,3,29.42,88.26,0
2024-01-03,Store_4,P_45,Bottoms,5,38.03,190.15,0
2024-01-03,Store_1,P_25,Tops,2,18.65,37.3,0
2024-01-03,Store_9,P_37,Accessories,3,20.34,61.02,0
2024-01-03,Store_8,P_16,Bottoms,2,23.53,47.06,1
2024-01-03,Store_9,P_40,Footwear,5,25.99,129.95,0
2024-01-04,Store_7,P_23,Footwear,4,27.95,111.8,0
2024-01-04,Store_6,P_15,Tops,3,27.06,81.18,0
2024-01-04,Store_5,P_26,Outerwear,2,27.26,54.52,1
2024-01-04,Store_5,P_32,Accessories,2,5.58,11.16,0
2024-01-04,Store_1,P_49,Outerwear,4,14.65,58.6,0
2024-01-04,Store_6,P_12,Accessories,1,11.79,11.79,0
2024-01-04,Store_8,P_3,Tops,2,33.82,67.64,0
2024-01-04,Store_2,P_35,Bottoms,1,27.93,27.93,0
2024-01-05,Store_10,P_19,Footwear,3,23.8,71.4,0
2024-01-05,Store_1,P_42,Accessories,3,18.19,54.57,0
2024-01-05,Store_3,P_25,Tops,1,26.05,26.05,0
2024-01-05,Store_1,P_18,Accessories,1,19.39,19.39,0
2024-01-05,Store_9,P_6,Accessories,2,-0.41,1.0,0
2024-01-05,Store_6,P_45,Accessories,1,12.55,12.55,0
2024-01-05,Store_10,P_12,Outerwear,3,23.73,71.19,1
2024-01-05,Store_10,P_22,Tops,3,27.42,82.26,0
2024-01-06,Store_2,P_32,Tops,3,32.08,96.24,0
2024-01-06,Store_4,P_21,Accessories,4,18.25,73.0,0
2024-01-06,Store_8,P_30,Tops,2,32.34,64.68,0
2024-01-06,Store_8,P_26,Outerwear,1,24.29,24.29,0
2024-01-06,Store_7,P_28,Bottoms,3,22.2,66.6,0
2024-01-06,Store_5,P_32,Bottoms,5,36.3,181.5,0
2024-01-06,Store_4,P_15,Outerwear,2,37.03,74.06,0
2024-01-06,Store_2,P_4,Footwear,4,28.08,112.32,0
2024-01-07,Store_2,P_33,Footwear,2,30.34,60.68,0
2024-01-07,Store_1,P_48,Footwear,5,28.9,144.5,1
2024-01-07,Store_6,P_11,Outerwear,5,38.36,191.8,0
2024-01-07,Store_4,P_22,Accessories,1,9.26,9.26,0
2024-01-07,Store_6,P_49,Outerwear,4,30.47,121.88,0
2024-01-07,Store_5,P_11,Tops,4,20.86,83.44,0
2024-01-07,Store_9,P_30,Bottoms,6,34.57,207.42,0
2024-01-07,Store_2,P_41,Accessories,4,21.08,84.32,0
2024-01-08,Store_5,P_41,Accessories,2,30.52,61.04,0
2024-01-08,Store_9,P_30,Tops,2,15.06,30.12,0
2024-01-08,Store_3,P_38,Accessories,3,24.48,73.44,0
2024-01-08,Store_10,P_6,Outerwear,2,31.03,62.06,0
2024-01-08,Store_3,P_5,Accessories,3,-4.2,1.0,0
2024-01-08,Store_6,P_45,Outerwear,2,31.49,62.98,0
2024-01-08,Store_2,P_24,Bottoms,1,23.83,23.83,0
2024-01-08,Store_1,P_18,Footwear,1,43.29,43.29,0
2024-01-09,Store_6,P_6,Tops,4,46.98,187.92,0
2024-01-09,Store_6,P_28,Bottoms,2,38.26,76.52,0
2024-01-09,Store_1,P_21,Bottoms,1,28.1,28.1,0
2024-01-09,Store_5,P_18,Outerwear,3,44.98,134.94,0
2024-01-09,Store_5,P_41,Tops,3,28.97,86.91,0
2024-01-09,Store_3,P_8,Tops,4,26.27,105.08,0
2024-01-09,Store_6,P_33,Bottoms,2,35.18,70.36,0
2024-01-09,Store_10,P_49,Footwear,3,31.01,93.03,0
2024-01-10,Store_3,P_21,Outerwear,5,26.11,130.55,0
2024-01-10,Store_10,P_16,Bottoms,2,31.66,63.32,0
2024-01-10,Store_5,P_47,Tops,2,37.62,75.24,0
2024-01-10,Store_3,P_12,Outerwear,3,41.62,124.86,0
2024-01-10,Store_9,P_49,Bottoms,5,24.65,123.25,1
2024-01-10,Store_7,P_26,Tops,4,39.3,157.2,0
2024-01-10,Store_10,P_35,Tops,4,28.09,112.36,0
2024-01-10,Store_2,P_4,Bottoms,2,36.83,73.66,0
2024-01-11,Store_9,P_1,Bottoms,5,21.95,109.75,0
2024-01-11,Store_3,P_19,Accessories,4,2.29,9.16,0
2024-01-11,Store_6,P_23,Outerwear,1,13.28,13.28,0
2024-01-11,Store_1,P_31,Outerwear,2,44.16,88.32,0
2024-01-11,Store_4,P_26,Footwear,3,31.96,95.88,0
2024-01-11,Store_8,P_2,Tops,3,25.94,77.82,0
2024-01-11,Store_8,P_33,Tops,3,24.25,72.75,0
